Gender,Age,Debt,Married,BankCustomer,Education,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,ApprovalStatus
2,30.83,0.0,2,1,13,8,1.25,1,1,1,0,0,68,0,0
1,58.67,4.46,2,1,11,4,3.04,1,1,6,0,0,11,560,0
1,24.5,0.5,2,1,11,4,1.5,1,0,0,0,0,96,824,0
2,27.83,1.54,2,1,13,8,3.75,1,1,5,1,0,31,3,0
2,20.17,5.625,2,1,13,8,1.71,1,0,0,0,2,37,0,0
2,32.08,4.0,2,1,10,8,2.5,1,0,0,1,0,115,0,0
2,33.17,1.04,2,1,12,4,6.5,1,0,0,1,0,54,31285,0
1,22.92,11.585,2,1,3,8,0.04,1,0,0,0,0,23,1349,0
2,54.42,0.5,3,3,9,4,3.96,1,0,0,0,0,62,314,0
2,42.5,4.915,3,3,13,8,3.165,1,0,0,1,0,15,1442,0
2,22.08,0.83,2,1,2,4,2.165,0,0,0,1,0,39,0,0
2,29.92,1.835,2,1,2,4,4.335,1,0,0,0,0,90,200,0
1,38.25,6.0,2,1,9,8,1.0,1,0,0,1,0,0,0,0
2,48.08,6.04,2,1,9,8,0.04,0,0,0,0,0,0,2690,0
1,45.83,10.5,2,1,11,8,5.0,1,1,7,1,0,0,0,0
2,36.67,4.415,3,3,9,8,0.25,1,1,10,1,0,105,0,0
2,28.25,0.875,2,1,10,8,0.96,1,1,3,1,0,127,0,0
1,23.25,5.875,2,1,11,8,3.17,1,1,10,0,0,37,245,0
2,21.83,0.25,2,1,4,4,0.665,1,0,0,1,0,0,0,0
1,19.17,8.585,2,1,3,4,0.75,1,1,7,0,0,29,0,0
2,25.0,11.25,2,1,2,8,2.5,1,1,17,0,0,67,1208,0
2,23.25,1.0,2,1,2,8,0.835,1,0,0,0,2,100,0,0
1,47.75,8.0,2,1,2,8,7.875,1,1,6,1,0,0,1260,0
1,27.42,14.5,2,1,14,4,3.085,1,1,1,0,0,37,11,0
1,41.17,6.5,2,1,11,8,0.5,1,1,3,1,0,47,0,0
1,15.83,0.585,2,1,2,4,1.5,1,1,2,0,0,31,0,0
1,47.0,13.0,2,1,7,1,5.165,1,1,9,1,0,0,0,0
2,56.58,18.5,2,1,4,1,15.0,1,1,17,1,0,0,0,0
2,57.42,8.5,2,1,5,4,7.0,1,1,3,0,0,0,0,0
2,42.08,1.04,2,1,13,8,5.0,1,1,6,1,0,150,10000,0
2,29.25,14.79,2,1,1,8,5.04,1,1,5,1,0,56,0,0
2,42.0,9.79,2,1,14,4,7.96,1,1,8,0,0,0,0,0
2,49.5,7.585,2,1,7,1,7.585,1,1,15,1,0,0,5000,0
1,36.75,5.125,2,1,5,8,5.0,1,0,0,1,0,0,4000,0
1,22.58,10.75,2,1,11,8,0.415,1,1,5,1,0,0,560,0
2,27.83,1.5,2,1,13,8,2.0,1,1,11,1,0,138,35,0
2,27.25,1.585,2,1,3,4,1.835,1,1,12,1,0,158,713,0
1,23.0,11.75,2,1,14,4,0.5,1,1,2,1,0,100,551,0
2,27.75,0.585,3,3,3,8,0.25,1,1,2,0,0,90,500,0
2,54.58,9.415,2,1,6,3,14.415,1,1,11,1,0,8,300,0
2,34.17,9.17,2,1,2,8,4.5,1,1,12,1,0,0,221,0
2,28.92,15.0,2,1,2,4,5.335,1,1,11,0,0,0,2283,0
2,29.67,1.415,2,1,13,4,0.75,1,1,1,0,0,84,100,0
2,39.58,13.915,2,1,13,8,8.625,1,1,6,1,0,19,0,0
2,56.42,28.0,3,3,2,8,28.5,1,1,40,0,0,0,15,0
2,54.33,6.75,2,1,2,4,2.625,1,1,11,1,0,0,284,0
